,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$88K - $133K (Glassdoor est.),"Spalding Consulting, Inc. is seeking a Data Scientist at MCAS Cherry Point at Havelock, NC. Spalding Consulting, Inc. is a professional services company delivering cutting-edge solutions to the Department of Defense since 2001. Our expert-level solutions include software development, information technology, program management, financial management and business intelligence services. Spalding Consulting offers competitive compensation, career development, flexible work schedules and excellent benefits.

Position Type: Full-Time

Come join our team as we support Naval Aviation at Marine Corps Air Station Cherry Point. If you seek a dynamic work environment that challenges you to learn and grow in data analysis, visualization, AI and ML, we have the opportunity for you.






Must be eligible to obtain a Secret clearance. Requirements to obtain a clearance include US Citizenship, security investigation, etc.


BS or BA degree in Engineering, Computer Science, Information Systems, Business, Mathematics, Statistics or Relevant Technical Discipline. Preferred. Additional years of experience may replace degree requirements.

Spalding Consulting, Inc. is committed to providing equal employment opportunities to all applicants and employees. We will not discriminate against any employee or applicant on the basis of race, color, ethnic origin, national origin, creed, religion, political belief, sex (including pregnancy), sexual orientation, gender identity, marital status, age, military status, physical or mental disability, or any other legally protected basis, in accordance with applicable federal, state or local laws. Spalding Consulting, Inc. is an Affirmative Action/Equal Opportunity Employer and encourages minorities, women, disabled, and veterans to apply for job openings within our company.",4.0,"Spalding Consulting, Inc.
4.0","Havelock, NC",,201 to 500 Employees,2001,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),
1,Data Scientist,,"Job Overview
A Data Scientist at ExploreLearning helps millions of children learn math and science by participating in the creation, improvement, and analysis of our award-winning, game-based, adaptive education products. You will take a dynamic role in establishing the pedagogical AI underlying our games, allowing them to produce individualized experiences for learners. Our ideal candidate will have a background in learning analytics and machine learning, and a passion for helping children learn math and science.
Job Responsibilities
o Use, maintain and develop our in-house AI system to sculpt the behavior of games so they properly adapt to individual learners while ensuring that activity-specific pedagogical requirements are achieved
o Evaluate user-generated logs to develop insights into the experiences of users
o Distill and present these findings, along with recommendations for improvement, to designers and other stakeholders",4.3,"Cambium Learning Group
4.3",Remote,,1001 to 5000 Employees,2004,Company - Private,Primary & Secondary Schools,Education,$500 million to $1 billion (USD),
2,"Data Scientist (Omics data analysis (genetics, genomics and proteomics))",Employer Provided Salary:$51.00 - $52.00 Per Hour,"Job Description:
Responsibilities:
Project involves developing multi-omics directed graph networks based on causal inference framework based on multiple data types (e.g., clinical, RNA-seq, epigenetic, proteomic, and/or genetic data).
Skills:
Must be expert in at least one area of causal inference such as interpretable machine learning or data fusion problem, e.g., to reduce space of plausible causal relationships and how data from multiple sources can be combined to make causal inferences.
Experience with machine learning in the context of causal inference, so that the predictive models are more than just a black box, is strongly desired.",3.7,"Tellus Solutions
3.7",Remote,,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),
3,Machine Learning Data Scientist TS/SCI with Poly $100K- $200k + 15% 401k,Employer Provided Salary:$100K - $200K,"Title: Machine Learning Data Scientist (TS/SCI with Poly)
Location: McLean, VA
Base Salary: $100,000.00 - $200,000.00 per year
15% Employer 401k contribution (Regardless of Employee Contribution)
PTO: 30 days annual total
Stock Option
$3000 annual training budget
Medical/Dental/Vision: company funded, cash incentives if you waive
Flexible work schedule
Referral bonuses
Paid Paternal and Maternal Leave",5.0,"Millennial Software
5.0","McLean, VA",,1 to 50 Employees,2019,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,
4,Genomics Data Scientist (Crop Science - Vegetable R&D),Employer Provided Salary:$103K - $140K,"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where 'Health for all Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.

Genomics Data Scientist (Crop Science - Vegetable R&D)",3.9,"Bayer
3.9","Chesterfield, MO",,10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),
5,Data Scientist,Employer Provided Salary:$43K - $88K,"Data Scientist
Overview
At the heart of QIAGEN’s business is a vision to make improvements in life possible.
We are on an exciting mission to make a real difference in science and healthcare. We are still the entrepreneurial company we started out as and have today achieved a size where we can bring our full power to many initiatives and to our presence across the globe.
Our most valuable asset are our employees – more than 6000 in over 35 locations around the world. Our ambition is to ensure we have outstanding and passionate people working in the best teams and we are constantly looking for new talent to join us.
There are few players who have shaped the world of modern science and healthcare as much as QIAGEN, and we have only just started.
If you are looking to advance your career, are seeking new challenges and opportunities, enjoy working in dynamic and international, diverse teams and want to make a real impact on people’s lives, then QIAGEN is where you need to be.",3.7,"QIAGEN
3.7","Ann Arbor, MI",,1001 to 5000 Employees,1984,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),
6,Environmental Data Scientist I,Employer Provided Salary:$75K - $80K,"Battelle delivers when others can’t. We conduct research and development, manage national laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.

We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.

Company Overview

Battelle manages and operates the National Ecological Observatory Network (NEON) program, which is solely funded by the National Science Foundation. A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatory’s scientists and engineers are collecting a comprehensive range of ecological data on a continental scale across 20 eco-climatic domains representing US ecosystems. Our teams use cutting-edge technology, including an airborne observation platform that captures images of regional landscapes and vegetation; mobile, relocatable, and fixed data collection sites with automated ground sensors to monitor soil and atmosphere; and trained field crews who observe and sample populations of diverse organisms and collect soil and water data. Once structures are completed, a leading-edge cyberinfrastructure will calibrate, store and publish this information. The Observatory includes more than 500+ personnel and is the first of its kind designed to detect and enable forecasting of ecological change at continental scales.",3.9,"Battelle
3.9","Boulder, CO",,1001 to 5000 Employees,1929,Nonprofit Organization,Research & Development,Management & Consulting,$5 to $10 billion (USD),
7,Data Scientist,,"Data Scientist
- (3258897)

As a not-for-profit organization, Mass General Brigham is committed to supporting patient care, research, teaching, and service to the community by leading innovation across our system. Founded by Brigham and Women’s Hospital and Massachusetts General Hospital, Mass General Brigham supports a complete continuum of care including community and specialty hospitals, a managed care organization, a physician network, community health centers, home care, and other health-related entities. Several of our hospitals are teaching affiliates of Harvard Medical School, and our system is a national leader in biomedical research.",3.8,"Mass General Brigham
3.8","Somerville, MA",,1001 to 5000 Employees,1994,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),
8,Junior Data Scientist,Employer Provided Salary:$60K - $64K,"Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:
DonorSearch Ai introduced deep learning and machine learning into the nonprofit sector by building custom models with a robust interactive visualization tool to help organizations fundraise more efficiently. The Data Scientist will use best-in-class machine learning technologies to develop machine learning algorithms to meet various objectives of fundraising staff.",3.8,"DonorSearch
3.8",Remote,,1 to 50 Employees,,Company - Public,Accounting & Tax,Financial Services,Unknown / Non-Applicable,
9,Data Scientist I - FP&A and StressTesting,,"Why USAA?
At USAA, we have an important mission: facilitating the financial security of millions of U.S. military members and their families. Not all of our employees served in our nation’s military, but we all share in the mission to give back to those who did. We’re working as one to build a great experience and make a real impact for our members.

We believe in our core values of honesty, integrity, loyalty and service. They’re what guides everything we do – from how we treat our members to how we treat each other. Come be a part of what makes us so special!
The Opportunity",3.4,"USAA
3.4","San Antonio, TX",,10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$25 to $100 million (USD),
