,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,IT Data Scientist I-IV,$76K - $107K (Glassdoor est.),"IT Data Scientist I-IV
- (2300494)

Founded in 1934, Medical Mutual is the oldest and one of the largest health insurance companies based in Ohio. We provide peace of mind to more than 1.6 million Ohioans through our high-quality health, life, disability, dental, vision and indemnity plans. We offer fully insured and self-funded group coverage, including stop loss, as well as Medicare Advantage, Medicare Supplement, and individual plans.
Medical Mutual’ s status as a mutual company means we are owned by our policyholders, not stockholders, so we don’t answer to Wall Street analysts or pay dividends to investors. Instead, we focus on developing products and services that allow us to better serve our customers and the communities around us and help our members achieve their best possible health and quality of life.",3.9,"Medical Mutual of Ohio
3.9","Brooklyn, OH",1001 to 5000 Employees,1934.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable
1,Data Scientist,Employer Provided Salary:$60K - $140K,"We are looking for junior, mid-level or senior-level data scientists with the following:
Demonstrated software development experience with Python in a Unix environment.
Practical knowledge in Python Machine Learning and Data Visualization
Practical knowledge in Data ETL such as working with: Data loading from SQL, CSV, JSON, Excel, etc., Web scraping (Beautiful Soup, Scrapy, etc.) and Data Wrangling/Cleaning
Experience using the Unix command line.
Proficiency in statistical packages using any of the following: Python, R, STATA, SPSS, etc.",4.7,Tech brothers infoservices,Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
3,Data Scientist,$84K - $123K (Glassdoor est.),"JOB DECRIPTION
Data Scientist
ABOUT US
Sanford Federal, Inc. headquartered in Stafford, VA., is a Service-Disabled Veteran Owned Small
Business that provides federal professional services, primarily engaged in providing advanced information technology, cyber security, management systems support, as well as business and infrastructure management services.
We are among the most innovative, respected, and ethical providers of technology solutions to the US
Government. Our mission is to provide superior-quality, innovative, information technology solutions that help federal agencies best aid, serve, and protect the American People.",2.2,"Sanford Federal, Inc.
2.2","East Orange, NJ",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
4,Junior Data Scientist,Employer Provided Salary:$60K - $64K,"Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:
DonorSearch Ai introduced deep learning and machine learning into the nonprofit sector by building custom models with a robust interactive visualization tool to help organizations fundraise more efficiently. The Data Scientist will use best-in-class machine learning technologies to develop machine learning algorithms to meet various objectives of fundraising staff.",4.0,"DonorSearch
4.0",Remote,1 to 50 Employees,,Company - Public,Accounting & Tax,Financial Services,Unknown / Non-Applicable
6,Remote Data Scientist,$81K - $115K (Glassdoor est.),"Pay Transparency Statement:
The compensation philosophy reflects the Company's reasonable expectation at the time of posting. We consider a number of factors when making individual compensation decisions including, but not limited to, skill sets, experience and training, and other business needs. This role may also be eligible to participate in a discretionary incentive program, subject to the rule governing the program.
Position Summary:
The Data Scientist is part of a Global Data and Analytics Center of Excellence, which provides design, development, consulting, and support services to various international markets. The Data Scientist will analyze data to identify relevant patterns and trends that can be leveraged to improve our business. Using these insights, the role will develop and implement advanced analytics solutions that deliver significant cost savings and/or drive new business opportunities for the organization.",4.3,"The Infosoft Group
4.3","Rosemont, IL",51 to 200 Employees,1996.0,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
7,Data Scientist (C),Employer Provided Salary:$65.00 - $75.00 Per Hour,"The Team:
At Client’s Artificial Intelligence Center of Excellence (AI COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. Collect requirements and deliver high value AI/ML solutions that drive customer, shareholder, and business value. The AI COE houses some of the highest caliber scientists, mathematicians and statisticians who implement the use of rigorous AI & quantitative approaches to ensure that we are efficiently building algorithms and technology relevant to the business or customer experience issue at hand. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry. We are looking for an experienced Data Science AI Engineer to join our team at client you will play a critical role in developing and fine-tuning AI models using the Vertex.AI platform. The ideal candidate should have a strong background in natural language processing (NLP), machine learning, and software engineering. Your expertise in AI prompt engineering, coupled with proficiency in the Vertex.AI platform, will be essential in creating high-quality AI models to enhance the capabilities of client.",,IVID TEK INC,Remote,1 to 50 Employees,,Company - Public,,Staffing and Technology Solution services to enterprise customers,Unknown / Non-Applicable
8,Environmental Data Scientist I,Employer Provided Salary:$75K - $80K,"Battelle delivers when others can’t. We conduct research and development, manage national laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.

We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.

Company Overview

Battelle manages and operates the National Ecological Observatory Network (NEON) program, which is solely funded by the National Science Foundation. A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatory’s scientists and engineers are collecting a comprehensive range of ecological data on a continental scale across 20 eco-climatic domains representing US ecosystems. Our teams use cutting-edge technology, including an airborne observation platform that captures images of regional landscapes and vegetation; mobile, relocatable, and fixed data collection sites with automated ground sensors to monitor soil and atmosphere; and trained field crews who observe and sample populations of diverse organisms and collect soil and water data. Once structures are completed, a leading-edge cyberinfrastructure will calibrate, store and publish this information. The Observatory includes more than 500+ personnel and is the first of its kind designed to detect and enable forecasting of ecological change at continental scales.",3.9,"Battelle
3.9","Boulder, CO",1001 to 5000 Employees,1929.0,Nonprofit Organization,Research & Development,Management & Consulting,$5 to $10 billion (USD)
9,Data Scientist,$88K - $126K (Glassdoor est.),"At Pattern Bioscience, we’re tackling antibiotic resistance, one of the biggest public health challenges of our time. Our technology rapidly identifies bacterial infections and predicts the most effective antibiotics to treat the infection. We’re building direct-from-specimen phenotypic rapid ID/AST assays using live cells on our proprietary instrument and consumable platform.
How will you contribute
Extract meaning from large, diverse datasets
Develop expertise in the metabolic signatures of bacterial cells in our microfluidic chips
Collaborate with amazing scientists and engineers
Requirements",4.5,"Pattern Bioscience
4.5","Austin, TX",1 to 50 Employees,2016.0,Company - Private,Biotechnology,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
10,Data Scientist,Employer Provided Salary:$65K - $80K,"Apply Statistical and Machine Learning methods to specific business problems and data.  Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.  Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics  Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.  Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time
Job Types: Part-time, Full-time",2.0,"COGNIZE TECH SOLUTIONS
2.0",Remote,51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable
12,Remote - Data Scientist,Employer Provided Salary:$79K - $120K,"We’re looking for talented professionals, anywhere in the United States, to join us in bringing smart money management and payment solutions to everyone’s fingertips.
At Green Dot, we are evolving to a new and permanent “Work from Anywhere” model designed to maximize the benefits of remote work, promote and enable a strong culture of performance and connectedness, and attract the best and brightest talent who align with our entrepreneurial spirit and mission.
<<>><<>><<>><<>><<>><<>><<>><<>><<>><<>>
JOB DESCRIPTION
This is an exciting opportunity to apply data science techniques and drive growth and revenue of Green Dot’s Business, Enterprise-wide. Our data science team works on several projects across the entire company including Churn Modelling and Customer Scoring for Marketing efforts, Revenue Prediction Modeling for Accounting and Finance and Cash Advance Customer Modeling for our Award-Winning Tax Products.
We are looking for candidates who are passionate about leveraging data science techniques to solve business problems and supplying stakeholders with actionable insights/decisions. The ideal candidate must be a self-starter who is able to deliver high quality work within tight deadlines and potentially propose/develop innovative solutions as well. The candidate will be reporting to the Lead Data Scientist within our Data Analytics department.
Regular
The targeted base salary for this position is $78,800 to $120,200 per year. The final compensation will be determined by a number of factors such as qualifications, expertise, and the candidate’s geographical location.",3.0,"Green Dot Corporation
3.0",Remote,1001 to 5000 Employees,1999.0,Company - Public,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD)
